,26
p,-34.6
k,2
db,0.5414819017268938
cp,7.09100959351764
sp,26.19112317845895
gyh_db,0.0
gyh_cp,1.0
gyh_sp,0.0
zb,0.25
exemplars,[ 2 64]
labels,"[ 2  2  2 64  2  2 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64
  2 64  2 64 64 64 64  2  2 64 64  2 64  2  2 64 64  2 64 64 64 64 64  2
 64  2 64 64 64 64  2 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64
 64 64 64 64 64 64 64 64  2 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64
 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64
 64  2 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64  2 64 64 64 64 64
 64 64 64 64  2]"
